AIRPORT,DISPLAY_AIRPORT_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LATITUDE,LONGITUDE,AIRPORT_START_DATE
A17,Port Vita Airport,AK,2,30030,"Port Vita, AK",1,58.06555556,-153.0725,9/1/02
A18,Kantishna Airport,AK,2,30031,"Kantishna, AK",1,63.54111111,-150.995,12/1/17
A20,Alpine Airstrip,AK,2,30033,"Alpine, AK",1,70.34416667,-150.9447222,8/1/02
A21,Serpentine Airport,AK,2,30034,"Serpentine, AK",1,65.85138889,-164.7027778,5/1/03
A22,Driftwood Bay Airport,AK,2,30035,"Driftwood Bay, AK",1,53.97277778,-166.8569444,1/1/03
A23,Bradley Lake Airport,AK,2,30036,"Bradley Lake, AK",1,59.77611111,-151.9636111,1/1/03
A24,Chilkat Lake Airport,AK,2,30037,"Chilkat Lake, AK",1,59.33166667,-135.8966667,8/1/02
A25,Nugget Creek Airport,AK,2,30038,"Nugget Creek, AK",1,59.28833333,-136.1738889,8/1/02
A26,Ivotuk Airstrip,AK,2,30039,"Ivotuk, AK",1,68.48333333,-155.7333333,5/1/03
A27,Pogo Mines Airport,AK,2,30040,"Pogo Mines, AK",1,64.44,-144.9363889,10/1/03
A28,Ayakulik River Airport,AK,2,30041,"Ayakulik River, AK",1,57.25388889,-154.4222222,1/1/01
A29,Kiluda Bay Airport,AK,2,30042,"Kiluda Bay, AK",1,57.32305556,-153.1494444,1/1/01
A30,Terror Lake Airport,AK,2,30043,"Terror Lake, AK",1,57.96388889,-153.0583333,1/1/01
A31,Selief Bay Airport,AK,2,30044,"Selief Bay, AK",1,58.98277778,-153.1833333,1/1/01
A34,Laura Lake Airport,AK,2,30047,"Laura Lake, AK",1,58.36194444,-152.3122222,7/1/02
A36,Deep Bay Airport,AK,2,30049,"Deep Bay, AK",1,55.56027778,-131.6555556,1/1/01
A37,Kako Airport,AK,2,30050,"Kako, AK",1,61.89888889,-161.4397222,7/1/11
A38,Molly Creek Airport,AK,2,30051,"Molly Creek, AK",1,64.09722222,-143.2666667,1/1/03
A39,Ptarmigan Lake Airport,AK,2,30052,"Ptarmigan Lake, AK",1,61.86611111,-141.1597222,1/1/03
A40,Cape Simpson Airport,AK,2,30053,"Cape Simpson, AK",1,71.05694444,-154.7283333,7/1/02
A42,Teshepkuk Lake Airport,AK,2,30055,"Teshepkuk Lake, AK",1,70.35833333,-153.1966667,1/1/04
A43,Trident Basin Seaplane Base,AK,2,30056,"Kodiak Island, AK",1,57.78083333,-152.3911111,4/1/03
A45,Lake Florence Airport,AK,2,30058,"Lake Florence, AK",1,57.81666667,-134.5833333,7/1/04
A46,Lake Hasselborg Airport,AK,2,30059,"Lake Hasselborg, AK",1,57.7,-134.2666667,7/1/04
A47,Distin Lake Airport,AK,2,30060,"Distin Lake, AK",1,57.61666667,-134.3666667,7/1/04
A48,Port Hobron Airport,AK,2,30061,"Port Hobron, AK",1,57.15,-153.15,7/1/04
A49,Mooseville Airstrip Airport,AK,2,30062,"Mooseville Airstrip, AK",1,70.28444444,-152.2119444,1/1/05
A50,Big Bay Airport,AK,2,30063,"Big Bay, AK",1,58.5625,-152.5961111,1/1/05
A51,Wien Lake Airport,AK,2,30064,"Wien Lake, AK",1,64.35277778,-151.275,1/1/05
A52,Silver Salmon Creek Airport,AK,2,30065,"Silver Salmon Creek, AK",1,59.96388889,-152.6822222,4/1/03
A53,Blear Lake Airport,AK,2,30066,"Blear Lake, AK",1,64.33333333,-147.5,6/1/05
A54,Cannery Bay Airport,AK,2,30067,"Cannery Bay, AK",1,53.68333333,-166.75,1/1/05
A56,Johnsons Landing,AK,2,30069,"Bear Lake, AK",1,56.03666667,-160.2661111,3/1/05
A57,International Seafoods Airport,AK,2,36440,"International Seafoods, AK",1,58.26666667,-157.5333333,10/1/01
A58,Cosna River Airport,AK,2,30071,"Cosna River, AK",1,64.5,-151.6666667,4/1/05
A59,Ivatuk Airport,AK,2,30072,"Ivatuk, AK",1,68.48777778,-155.7575,4/1/05
A61,Cape Sarichef Airport,AK,2,30074,"Cape Sarichef, AK",1,54.5825,-164.9144444,7/1/11
A62,Taylor Mountain,AK,2,30075,"Taylor Mountain Mine, AK",1,60.86777778,-157.3919444,4/1/05
A63,Coal Creek,AK,2,30076,"Yukon Charley Rivvers, AK",1,65.31166667,-143.1341667,12/1/17
A65,Karluk Portage Airport,AK,2,30078,"Karluk Portage, AK",1,57.53833333,-154.1644444,6/1/05
A66,Hope Airport,AK,2,30079,"Hope, AK",1,60.90722222,-149.6227778,12/1/17
A67,Viekoda Bay Airport,AK,2,30080,"Viekoda Bay, AK",1,57.84944444,-153.1152778,7/1/05
A69,Cathedral Strip,AK,2,30082,"Cold Bay, AK",1,55.74,-162.1252778,7/1/05
A70,Village Islands Airport,AK,2,30083,"Village Islands, AK",1,57.77416667,-153.5447222,10/1/05
A71,Bear Cove Farm,AK,2,30009,"Homer, AK",1,59.73833333,-151.03,4/1/05
A72,Chinitna Bay Airport,AK,2,30085,"Chinitna Bay, AK",1,59.83333333,-152.5847222,4/1/05
A73,McKinley National Park,AK,2,30086,"McKinley Park, AK",1,63.7325,-148.9105556,1/1/50
A74,Dog Fish Bay,AK,2,32649,"Nanwalek, AK",1,59.24111111,-151.8772222,4/1/05
A75,Malina Bay Airport,AK,2,30088,"Malina Bay, AK",1,58.17194444,-152.8941667,10/1/05
A76,Red Fox Bay Airport,AK,2,30089,"Red Fox Bay, AK",1,58.46444444,-152.5930556,10/1/05
A77,Shearwater Airport,AK,2,30090,"Shearwater, AK",1,57.34333333,-152.8972222,10/1/05
A78,Lake,AK,2,30053,"Cape Simpson, AK",1,71.03,-154.4436111,10/1/05
A79,Cape Simpson No. 1,AK,2,30053,"Cape Simpson, AK",1,71.50166667,-154.0338889,10/1/05
A80,Cape Simpson No. 7,AK,2,30053,"Cape Simpson, AK",1,70.57388889,-155.3213889,10/1/05
A81,Cape Simpson #1,AK,2,30094,"Aglaq, AK",1,70.66277778,-154.8366667,1/1/06
A82,Nikiski Private Airstrip,AK,2,30095,"Nikiski, AK",1,60.69027778,-151.2888889,1/1/06
A83,Petrof Point Airport,AK,2,30096,"Petrof Point, AK",1,59.37638889,-150.765,3/1/06
A84,Denali West Lodge Private,AK,2,30097,"Denali, AK",1,63.75555556,-147.93,6/1/06
A85,Big River Airport,AK,2,30098,"Big River, AK",1,61.85944444,-154.2766667,10/1/02
A87,Carry Inlet Airport,AK,2,30100,"Carry Inlet, AK",1,58.58305556,-152.4458333,7/1/06
A89,Montague Island Airport,AK,2,30102,"Montague Island, AK",1,59.925,-147.5166667,10/1/06
A90,Shannon Pond Airport,AK,2,30103,"Shannon Pond, AK",1,59.03916667,-158.4638889,1/1/07
A91,Omalik Lagoon Airport,AK,2,30104,"Omalik Lagoon, AK",1,69.15555556,-163.4972222,1/1/07
A92,Omolik Lagoon Airport,AK,2,30105,"Omolik Lagoon, AK",1,69.14805556,-163.5102778,4/1/07
A93,Bradley Lake Project Airport,AK,2,30106,"Bradley Lake Project, AK",1,59.79166667,-151.2666667,4/1/07
A94,Ice Strip,AK,2,30107,"Barrow, AK",1,70.57416667,-155.3180556,1/1/07
A95,Ice Strip,AK,2,30107,"Barrow, AK",1,70.31194444,-153.2491667,3/1/07
A96,Ice Strip,AK,2,30107,"Barrow, AK",1,70.98083333,-157.095,3/1/07
A97,Akulik Air Strip,AK,2,30110,"Akulik, AK",1,68.98555556,-163.4797222,6/1/07
A98,Deadfall Air Strip,AK,2,30111,"Deadfall, AK",1,69.17083333,-163.2563889,7/1/07
A99,Eagle Creek Airport,AK,2,30112,"Eagle Creek, AK",1,68.67666667,-162.6469444,7/1/07
AA1,Ice Kong,AK,2,30113,"Bethel, AK",1,59.95277778,-162.6169444,3/1/09
AA4,Glacier Split,AK,2,30116,"Kachemak Bay, AK",1,59.63333333,-151.2083333,6/1/09
AA5,Selby Lake Airport,AK,2,30117,"Selby Lake, AK",1,66.95583333,-155.615,1/1/10
ABL,Ambler River,AK,2,30139,"Ambler, AK",1,67.0875,-157.8458333,1/1/50
ADK,Adak,AK,2,30165,"Adak Island, AK",1,51.88361111,-176.6425,12/1/17
ADQ,Kodiak Airport,AK,2,30070,"Kodiak, AK",1,57.74972222,-152.4938889,12/1/17
AED,Aleneva Airport,AK,2,30176,"Aleneva, AK",1,58.03333333,-152.9,3/1/96
AET,Allakaket Airport,AK,2,30184,"Allakaket, AK",1,66.55194444,-152.6222222,7/1/11
AGN,Angoon Seaplane Base,AK,2,30204,"Angoon, AK",1,57.50388889,-134.5833333,1/1/50
AHT,Amchitka,AK,2,30219,"Amchitka Island, AK",1,51.37861111,179.2586111,1/1/50
AIB,Anita Bay Airport,AK,2,30222,"Anita Bay, AK",1,56.19,-132.4458333,6/1/88
AIN,Wainwright Airport,AK,2,30225,"Wainwright, AK",1,70.63805556,-159.9947222,7/1/11
AKB,Atka Airport,AK,2,30237,"Atka, AK",1,52.22055556,-174.2061111,7/1/11
AKI,Akiak Airport,AK,2,30241,"Akiak, AK",1,60.90277778,-161.2305556,7/1/11
AKK,Akhiok Airport,AK,2,30243,"Akhiok, AK",1,56.93861111,-154.1825,7/1/11
AKN,King Salmon Airport,AK,2,30245,"King Salmon, AK",1,58.67638889,-156.6486111,7/1/11
AKP,Anaktuvuk Pass Airport,AK,2,30247,"Anaktuvuk Pass, AK",1,68.13361111,-151.7433333,7/1/11
ALZ,Alitak Seaplane Base,AK,2,30278,"Lazy Bay, AK",1,56.89583333,-154.2458333,1/1/50
ANC,Ted Stevens Anchorage International,AK,2,30299,"Anchorage, AK",1,61.17416667,-149.9980556,12/1/17
ANI,Aniak Airport,AK,2,30304,"Aniak, AK",1,61.58166667,-159.5430556,1/1/50
ANN,Annette Island,AK,2,30307,"Annette, AK",1,55.04222222,-131.5708333,12/1/17
ANV,Anvik Airport,AK,2,30313,"Anvik, AK",1,62.64722222,-160.19,7/1/11
AOS,Amook Bay Airport,AK,2,30324,"Amook Bay, AK",1,57.45472222,-153.8130556,12/1/81
AQY,Girdwood Airport,AK,2,30344,"Girdwood, AK",1,60.96888889,-149.1194444,12/1/17
ARC,Arctic Village Airport,AK,2,30349,"Arctic Village, AK",1,68.11472222,-145.5794444,7/1/11
ATK,Atqasuk Edward Burnell Sr. Memorial,AK,2,30396,"Atqasuk, AK",1,70.46722222,-157.4355556,12/1/17
ATT,Atmautluak Airport,AK,2,30405,"Atmautluak, AK",1,60.86777778,-162.2741667,12/1/17
ATU,Casco Cove CGS,AK,2,30406,"Attu, AK",1,52.8325,173.1755556,7/1/11
AUK,Alakanuk Airport,AK,2,30416,"Alakanuk, AK",1,62.68305556,-164.7222222,12/1/17
BAR,Baker AAF,AK,2,30487,"Baker Island, AK",1,55.36666667,-133.6,12/1/92
BCC,Bear Creek Airport,AK,2,30057,"Bear Creek, AK",1,57.6175,-155.8672222,4/1/95
BET,Bethel Airport,AK,2,30113,"Bethel, AK",1,60.77861111,-161.8372222,7/1/11
BFB,Blue Fox Bay Airport,AK,2,30556,"Blue Fox Bay, AK",1,58.18333333,-152.1333333,9/1/95
BGQ,Big Lake Airport,AK,2,30580,"Big Lake, AK",1,61.53472222,-149.8125,12/1/17
BIC,Big Creek Airport,AK,2,30612,"Big Creek, AK",1,57.66666667,-157.5833333,3/1/88
BIG,Allen AAF,AK,2,30616,"Big Delta, AK",1,63.99472222,-145.7202778,7/1/11
BKC,Buckland Airport,AK,2,30640,"Buckland, AK",1,65.98166667,-161.1491667,7/1/11
BKF,Brooks Lake Airport,AK,2,30642,"Brooks Lake, AK",1,58.6,-156.2333333,1/1/50
BMX,Big Mountain AFS,AK,2,30692,"Big Mountain, AK",1,59.36111111,-155.2588889,7/1/11
BNF,Warm Spring Bay Seaplane Base,AK,2,30697,"Baranof, AK",1,57.08916667,-134.8313889,1/1/50
BQV,Bartlett Cove Seaplane Base,AK,2,30735,"Bartlett Cove, AK",1,58.45527778,-135.8852778,2/1/50
BRW,Wiley Post/Will Rogers Memorial,AK,2,30107,"Barrow, AK",1,71.28472222,-156.7686111,12/1/17
BSW,Boswell Bay Airport,AK,2,30769,"Boswell Bay, AK",1,60.42305556,-146.1458333,7/1/11
BTI,Barter Island Airport,AK,2,30775,"Barter Island, AK",1,70.11305556,-143.6536111,12/1/17
BTT,Bettles Airport,AK,2,30783,"Bettles, AK",1,66.91388889,-151.5291667,7/1/11
BVD,Beaver Inlet Seaport,AK,2,30809,"Beaver Inlet, AK",1,53.8325,-166.3025,3/1/90
BYA,Boundary Airport,AK,2,30834,"Boundary, AK",1,64.07833333,-141.1133333,7/1/11
CBA,Corner Bay Airport,AK,2,30886,"Corner Bay, AK",1,57.73777778,-135.1255556,3/1/78
CDB,Cold Bay Airport,AK,2,30082,"Cold Bay, AK",1,55.20583333,-162.7263889,12/1/17
CDL,Candle 2,AK,2,30923,"Candle, AK",1,65.90777778,-161.9263889,7/1/11
CDV,Merle K Mudhole Smith,AK,2,30913,"Cordova, AK",1,60.49166667,-145.4775,7/1/11
CEM,Central Airport,AK,2,30938,"Central, AK",1,65.57388889,-144.7808333,7/1/11
CEX,Chena Hot Springs Airport,AK,2,30948,"Chena Hot Springs, AK",1,65.05194444,-146.0475,7/1/11
CFA,Coffee Point Airport,AK,2,30951,"Coffee Point, AK",1,58.21666667,-157.5,3/1/90
CGA,Craig Seaplane Base,AK,2,30961,"Craig, AK",1,55.47916667,-133.1461111,1/1/50
CHP,Circle Hot Springs Airport,AK,2,30991,"Circle Hot Springs, AK",1,65.48583333,-144.6116667,12/1/17
CHU,Chuathbaluk Airport,AK,2,30996,"Chuathbaluk, AK",1,61.57916667,-159.2155556,7/1/11
CIK,Chalkyitsik Airport,AK,2,31007,"Chalkyitsik, AK",1,66.645,-143.74,7/1/11
CIL,Council Airport,AK,2,31008,"Council, AK",1,64.89666667,-163.7036111,12/1/17
CIV,Chomley Airport,AK,2,31014,"Chomley, AK",1,55.24777778,-132.3236111,3/1/90
CJI,Crafton Island Airport,AK,2,31021,"Crafton Island, AK",1,60.50277778,-147.9402778,1/1/50
CKD,Crooked Creek Airport,AK,2,31028,"Crooked Creek, AK",1,61.86777778,-158.135,7/1/11
CKU,Cordova Municipal,AK,2,30913,"Cordova, AK",1,60.54361111,-145.7258333,12/1/17
CKX,Chicken Airport,AK,2,31036,"Chicken, AK",1,64.06666667,-141.9513889,12/1/17
CLF,Clear Mews,AK,2,31043,"Clear, AK",1,64.30166667,-149.1177778,1/1/50
CLP,Clarks Point Airport,AK,2,31053,"Clarks Point, AK",1,58.83361111,-158.5294444,7/1/11
CSP,Cape Spencer C.G. Helipad,AK,2,31154,"Cape Spencer, AK",1,58.19916667,-136.6388889,1/1/90
CXC,Chitina Airport,AK,2,31213,"Chitina, AK",1,61.58333333,-144.4297222,12/1/17
CXF,Coldfoot Airport,AK,2,31214,"Coldfoot, AK",1,67.25222222,-150.2038889,7/1/11
CYF,Chefornak Airport,AK,2,31227,"Chifornak, AK",1,60.13694444,-164.2791667,12/1/17
CYM,Chatham Airport,AK,2,31230,"Chatham, AK",1,57.51527778,-134.9444444,1/1/50
CYT,Yakataga,AK,2,31234,"Cape Yakataga, AK",1,60.08083333,-142.4955556,12/1/17
CZC,Copper Center 2,AK,2,31238,"Copper Center, AK",1,61.94111111,-145.2941667,7/1/96
CZF,Cape Romanzof LRRS,AK,2,31241,"Cape Romanzof, AK",1,61.78027778,-166.0386111,3/1/17
CZN,Chisana Airport,AK,2,31245,"Chisana, AK",1,62.07166667,-142.0494444,12/1/17
CZO,Chistochina Airport,AK,2,31246,"Chistochina, AK",1,62.56222222,-144.6725,12/1/17
CZP,Cape Pole Airport,AK,2,31247,"Cape Pole, AK",1,55.965,-133.7933333,1/1/50
DCK,Dahl Creek Airport,AK,2,31280,"Dahl Creek, AK",1,66.9425,-156.8913889,12/1/17
DGB,Danger Bay Airport,AK,2,31299,"Danger Bay, AK",1,58.13333333,-152.55,3/1/92
DIO,Diomede Heliport,AK,2,31317,"Diomede Island, AK",1,65.75861111,-168.9530556,7/1/11
DJN,Delta Junction Airport,AK,2,31327,"Delta Junction, AK",1,64.05,-145.7225,12/1/17
DLG,Dillingham Airport,AK,2,31336,"Dillingham, AK",1,59.04472222,-158.5055556,7/1/11
DLO,Dolomi Airport,AK,2,31341,"Dolomi, AK",1,55.12222222,-132.05,12/1/87
DNC,Duncan Canal Airport,AK,2,31353,"Duncan Canal, AK",1,56.75694444,-133.2216667,1/1/50
DOF,Dora Bay Airport,AK,2,31367,"Dora Bay, AK",1,55.23333333,-132.2166667,12/1/87
AA8,Badami,AK,2,30073,"Deadhorse, AK",1,70.1375,-147.0305556,12/1/97
DQH,Alpine Airstrip,AK,2,30033,"Alpine, AK",1,70.34416667,-150.9447222,7/1/11
DQL,Lake Hood Strip,AK,2,30299,"Anchorage, AK",1,61.18666667,-149.9652778,7/1/11
DQU,Neets Bay,AK,2,31401,"Ketchikan, AK",1,55.77888889,-131.6013889,9/1/00
DQV,Glacier Point,AK,2,31402,"Haines, AK",1,59.1025,-135.3822222,9/1/00
DQX,Tsui River Airport,AK,2,31404,"Tsui River, AK",1,60.07472222,-143.0866667,3/1/01
DQZ,Platinum Mine,AK,2,31406,"Platinum, AK",1,58.91166667,-161.7138889,6/1/02
DRF,Drift River Airport,AK,2,31410,"Drift River, AK",1,60.58888889,-152.1619444,7/1/11
DRG,Deering Airport,AK,2,31411,"Deering, AK",1,66.06916667,-162.7669444,12/1/17
DUT,Unalaska Airport,AK,2,31445,"Unalaska, AK",1,53.89888889,-166.545,12/1/17
EAA,Eagle Airport,AK,2,31463,"Eagle, AK",1,64.77805556,-141.1497222,7/1/11
EAG,Eagle Creek Strip,AK,2,31464,"Noatak, AK",1,67.56222222,-162.9752778,4/1/09
EDA,Edna Bay Airport,AK,2,31484,"Edna Bay, AK",1,55.93638889,-133.6555556,1/1/50
EDF,Elmendorf AFB,AK,2,30299,"Anchorage, AK",1,61.25138889,-149.8063889,7/1/11
EEK,Eek Airport,AK,2,31492,"Eek, AK",1,60.21361111,-162.0438889,7/1/11
EFB,Eight Fathom Bight Airport,AK,2,31494,"Eight Fathom Bight, AK",1,58,-135.7333333,12/1/87
EGA,Chenega Airport,AK,2,31501,"Chenega, AK",1,60.28333333,-148.0833333,1/1/50
EGX,Egegik Airport,AK,2,31511,"Egegik, AK",1,58.18555556,-157.3755556,7/1/11
EHM,Cape Newenham LRRS,AK,2,31512,"Cape Newenham, AK",1,58.64805556,-162.0630556,12/1/17
EHR,Eagle Harbor Airport,AK,2,31513,"Eagle Harbor, AK",1,57.41666667,-152.7166667,1/1/50
EIL,Eielson AFB,AK,2,31517,"Fairbanks, AK",1,64.66555556,-147.1013889,7/1/11
ELI,Elim Airport,AK,2,31535,"Elim, AK",1,64.615,-162.2705556,7/1/11
ELV,Elfin Cove Seaplane Base,AK,2,31545,"Elfin Cove, AK",1,58.2,-136.3166667,1/1/50
ELW,Ellamar Seaplane Base,AK,2,31546,"Ellamar, AK",1,60.89333333,-146.7083333,1/1/50
EMK,Emmonak Airport,AK,2,31550,"Emmonak, AK",1,62.78611111,-164.4908333,1/1/50
ENA,Kenai Municipal,AK,2,31555,"Kenai, AK",1,60.57333333,-151.2447222,7/1/11
ENN,Nenana Municipal,AK,2,31559,"Nenana, AK",1,64.54722222,-149.0738889,7/1/11
EVC,Eva Creek Airport,AK,2,31606,"Eva Creek, AK",1,64.04194444,-148.8630556,7/1/11
EXI,Excursion Inlet Seaplane Base,AK,2,31619,"Excursion Inlet, AK",1,58.42083333,-135.4472222,1/1/02
FAI,Fairbanks International,AK,2,31517,"Fairbanks, AK",1,64.815,-147.8563889,7/1/11
FAK,False Island Airport,AK,2,31632,"False Island, AK",1,57.51666667,-135.2166667,3/1/90
FAU,Fairmount Island Airport,AK,2,31639,"Fairmount Island, AK",1,60.89611111,-147.4466667,4/1/74
FBK,Ladd AAF,AK,2,31517,"Fairbanks, AK",1,64.8375,-147.6144444,7/1/11
FIC,Fire Cove Airport,AK,2,31674,"Fire Cove, AK",1,55.77777778,-131.5375,12/1/87
FLJ,Falls Bay Airport,AK,2,31696,"Falls Bay, AK",1,60.51666667,-148,6/1/85
FLT,Flat Airport,AK,2,31702,"Flat, AK",1,62.45277778,-157.9891667,7/1/11
FNR,Funter Bay,AK,2,31720,"Funter Bay Alaska, AK",1,58.25,-134.9,1/1/50
FQA,Patching Lake Airport,AK,2,31734,"Patching Lake, AK",1,55.60611111,-131.4833333,6/1/01
FQC,Lilly Lake,AK,2,30070,"Kodiak, AK",1,57.80555556,-152.3805556,6/1/01
