Rank,Percentile,compound loc,City,State,CS,Population,Average weekly hours worked,average travel time to work in minutes,Median gross rent as a percentage of monthly income,percentage of population with health insurance coverage,Percentage of residents whoe income in the last 12 months was below the poverty level,Unemployment Rate ,Score,lat,lon
106,40.10%,"Columbus, Georgia",Columbus,GA,"Columbus, GA","197,485",39.4,19.7,39.90%,89.60%,16.70%,7.70%,61.87,32.4608333,-84.9877778
18,89.80%,"Honolulu, Hawaii",Honolulu,HI,"Honolulu, HI","351,769",38.5,23,46.50%,96.70%,7.10%,4.10%,73.66,21.3069444,-157.8583333
9,94.90%,"Des Moines, Iowa",Des Moines,IA,"Des Moines, IA","215,328",37.8,18.4,31.80%,93.00%,12.60%,6.40%,74.96,41.6005556,-93.6088889
5,97.20%,"Boise, Idaho",Boise,ID,"Boise, ID","223,152",38.1,18.4,33.20%,91.00%,8.60%,4.50%,77.12,43.6136,-116.2025
110,37.90%,"Aurora, Illinois",Aurora,IL,"Aurora, IL","197,107",38.7,28.6,43.30%,89.50%,9.90%,6.90%,61.5,41.7605556,-88.32
148,16.40%,"Chicago, Illinois",Chicago,IL,"Chicago, IL","2,704,965",38.8,35,35.10%,90.40%,15.30%,8.10%,56.14,41.85,-87.65
70,60.50%,"Indianapolis, Indiana",Indianapolis,IN,"Indianapolis, IN","852,506",38.9,23.6,32.90%,90.70%,14.30%,5.90%,67.12,39.7683333,-86.1580556
33,81.40%,"Fort Wayne, Indiana",Fort Wayne,IN,"Fort Wayne, IN","261,342",38.3,21.2,28.60%,91.60%,14.30%,5.60%,72.32,41.1305556,-85.1288889
4,97.70%,"Overland Park, Kansas",Overland Park,KS,"Overland Park, KS","188,955",39.5,20,31.70%,95.00%,4.40%,3.50%,79.42,38.9822222,-94.6705556
42,76.30%,"Wichita, Kansas",Wichita,KS,"Wichita, KS","389,927",38.7,19.4,29.90%,88.50%,12.80%,5.80%,70.81,37.6922222,-97.3372222
144,18.60%,"Kansas City, Kansas",Kansas City,KS,"Kansas City, KS","153,893",38.7,20.6,37.40%,80.80%,17.60%,8.30%,57.19,39.1141667,-94.6272222
12,93.20%,"Lexington-Fayette, Kentucky",Lexington-Fayette,KY,"Lexington-Fayette, KY","318,449",37.7,21.1,33.50%,93.20%,11.40%,6.10%,74.11,38.0497222,-84.4586111
19,89.30%,"Louisville, Kentucky",Louisville,KY,"Louisville, KY","616,261",38.8,22.5,30.10%,95.50%,10.60%,6.30%,73.47,38.2541667,-85.7594444
111,37.30%,"New Orleans, Louisiana",New Orleans,LA,"New Orleans, LA","391,495",38.8,23.7,37.10%,90.40%,17.10%,8.20%,61.34,29.9544444,-90.075
114,35.60%,"Baton Rouge, Louisiana",Baton Rouge,LA,"Baton Rouge, LA","227,707",37.2,22.7,41.80%,89.80%,19.70%,9.60%,60.55,30.4505556,-91.1544444
131,26.00%,"Shreveport, Louisiana",Shreveport,LA,"Shreveport, LA","194,472",38.9,18.3,37.80%,87.20%,25.70%,7.20%,58.67,32.525,-93.75
26,85.30%,"Worcester, Massachusetts",Worcester,MA,"Worcester, MA","184,509",37.2,24.7,38.40%,97.20%,14.20%,5.50%,72.94,42.2625,-71.8027778
62,65.00%,"Springfield, Massachusetts",Springfield,MA,"Springfield, MA","154,079",36.7,21.9,36.80%,94.40%,20.40%,8.40%,67.69,42.1013889,-72.5902778
125,29.40%,"Boston, Massachusetts",Boston,MA,"Boston, MA","672,840",38.6,29.9,47.90%,96.90%,16.50%,7.60%,59.31,42.3583333,-71.0602778
130,26.60%,"Baltimore, Maryland",Baltimore,MD,"Baltimore, MD","614,664",38.8,30.3,35.40%,93.20%,16.60%,8.90%,58.96,39.2902778,-76.6125
24,86.40%,"Grand Rapids, Michigan",Grand Rapids,MI,"Grand Rapids, MI","196,458",37,19.1,41.20%,93.40%,14.20%,6.00%,73.03,42.9633333,-85.6680556
175,1.10%,"Detroit, Michigan",Detroit,MI,"Detroit, MI","672,829",36.9,26.4,42.00%,91.80%,30.40%,16.50%,45.8,42.3313889,-83.0458333
13,92.70%,"Minneapolis, Minnesota",Minneapolis,MN,"Minneapolis, MN","413,645",37.3,22.4,35.00%,94.20%,12.40%,5.80%,74.1,44.98,-93.2636111
16,91.00%,"St. Paul, Minnesota",St. Paul,MN,"Saint Paul, MN","302,403",36.8,24.4,35.00%,93.90%,13.10%,5.50%,73.81,44.9444444,-93.0930556
61,65.50%,"Kansas City, Missouri",Kansas City,MO,"Kansas City, MO","481,360",39.3,22,32.30%,88.80%,12.00%,5.70%,67.76,39.0997222,-94.5783333
102,42.40%,"St. Louis, Missouri",St. Louis,MO,"Saint Louis, MO","311,404",38.4,25,31.20%,89.30%,19.40%,7.00%,62.92,38.6272222,-90.1977778
48,72.90%,"Springfield, Missouri",Springfield,MO,"Springfield, MO","167,313",36.6,18.9,39.30%,86.50%,15.90%,5.80%,69.78,37.2152778,-93.2980556
151,14.70%,"Jackson, Mississippi",Jackson,MS,"Jackson, MS","169,141",37.9,22,39.00%,86.10%,16.80%,12.80%,55.87,32.2986111,-90.1847222
92,48.00%,"Charlotte, North Carolina",Charlotte,NC,"Charlotte, NC","842,029",40.1,25.5,35.80%,87.90%,9.60%,5.40%,63.74,35.2269444,-80.8433333
6,96.60%,"Cary, North Carolina",Cary,NC,"Cary, NC","164,007",40.3,23.6,25.40%,92.60%,3.00%,3.90%,76.34,35.7913889,-78.7813889
65,63.30%,"Greensboro, North Carolina",Greensboro,NC,"Greensboro, NC","287,019",37.8,19.8,35.60%,90.70%,17.90%,7.20%,67.5,36.0725,-79.7922222
63,64.40%,"Winston-Salem, North Carolina",Winston-Salem,NC,"Winston-Salem, NC","242,200",38.2,20.4,33.10%,87.60%,14.80%,6.60%,67.64,36.0997222,-80.2444444
22,87.60%,"Raleigh, North Carolina",Raleigh,NC,"Raleigh, NC","458,862",38.6,23.2,33.60%,91.00%,8.00%,4.50%,73.19,35.7719444,-78.6388889
88,50.30%,"Durham, North Carolina",Durham,NC,"Durham, NC","262,989",39.2,23.8,35.10%,87.00%,14.60%,5.20%,63.97,35.9938889,-78.8988889
149,15.80%,"Fayetteville, North Carolina",Fayetteville,NC,"Fayetteville, NC","204,777",40.2,20.2,40.90%,89.60%,17.70%,10.00%,56.05,35.0525,-78.8786111
153,13.60%,"Sunrise Manor, Nevada",Sunrise Manor,NV,"Sunrise Manor, NV","193,357",37,28.7,41.20%,81.30%,16.60%,8.60%,55.26,36.2111111,-115.0722222
47,73.40%,"Henderson, Nevada",Henderson,NV,"Henderson, NV","292,977",39.2,23.1,35.50%,93.90%,5.60%,8.30%,69.8,36.0397222,-114.9811111
3,98.30%,"Lincoln, Nebraska",Lincoln,NE,"Lincoln, NE","280,369",37.5,18.9,32.80%,91.60%,7.30%,3.60%,80.48,40.8,-96.6666667
40,77.40%,"Reno, Nevada",Reno,NV,"Reno, NV","245,251",38.1,19.9,37.90%,90.10%,9.90%,6.30%,71.17,39.5297222,-119.8127778
64,63.80%,"Spring Valley, Nevada",Spring Valley,NV,"Spring Valley, NV","205,933",38.6,22.5,41.60%,88.00%,10.00%,4.90%,67.53,36.1080556,-115.2441667
101,42.90%,"Paradise, Nevada",Paradise,NV,"Paradise, NV","242,013",37.8,23,39.40%,84.80%,16.00%,6.10%,63.03,36.0972222,-115.1458333
17,90.40%,"Omaha, Nebraska",Omaha,NE,"Omaha, NE","446,956",38.5,18.9,32.40%,88.50%,9.60%,4.80%,73.71,41.2586111,-95.9375
121,31.60%,"North Las Vegas, Nevada",North Las Vegas,NV,"North Las Vegas, NV","238,689",37.8,26.6,45.10%,85.20%,11.00%,7.90%,59.77,36.1988889,-115.1166667
177,0.00%,"Newark, New Jersey",Newark,NJ,"Newark, NJ","281,770",36.5,34.7,47.60%,80.90%,24.10%,12.00%,42.01,40.7355556,-74.1727778
157,11.30%,"Jersey City, New Jersey",Jersey City,NJ,"Jersey City, NJ","264,161",39.4,38.6,36.60%,88.30%,14.20%,6.20%,53.68,40.7280556,-74.0780556
21,88.10%,"Albuquerque, New Mexico",Albuquerque,NM,"Albuquerque, NM","559,270",38,21.5,32.00%,92.90%,13.60%,5.20%,73.33,35.0844444,-106.6505556
98,44.60%,"Las Vegas, Nevada",Las Vegas,NV,"Las Vegas, NV","632,916",38.3,25.5,38.80%,87.20%,12.50%,6.80%,63.11,36.175,-115.1363889
135,23.70%,"Yonkers, New York",Yonkers,NY,"Yonkers, NY","200,792",37.6,35.6,44.90%,91.20%,11.20%,8.10%,58.02,40.9311111,-73.8991667
166,6.20%,"New York, New York",New York,NY,"New York, NY","8,537,673",39,41.4,44.00%,92.20%,15.50%,6.80%,51.28,40.7141667,-74.0063889
93,47.50%,"Rochester, New York",Rochester,NY,"Rochester, NY","208,886",36.1,20.7,36.70%,94.00%,27.90%,9.80%,63.71,43.1547222,-77.6158333
53,70.10%,"Buffalo, New York",Buffalo,NY,"Buffalo, NY","256,908",36.4,21.4,31.80%,95.40%,25.10%,8.00%,68.82,42.8863889,-78.8786111
54,69.50%,"Columbus, Ohio",Columbus,OH,"Columbus, OH","862,643",38,21.8,34.60%,91.40%,16.10%,6.20%,68.75,39.9611111,-82.9988889
69,61.00%,"Toledo, Ohio",Toledo,OH,"Toledo, OH","278,512",37.7,19.9,30.80%,94.30%,21.20%,9.20%,67.2,41.6638889,-83.5552778
71,59.90%,"Akron, Ohio",Akron,OH,"Akron, OH","197,634",36.9,21.1,33.50%,90.00%,19.40%,8.40%,66.73,41.0813889,-81.5191667
164,7.30%,"Cleveland, Ohio",Cleveland,OH,"Cleveland, OH","385,810",36.8,24.3,36.10%,92.60%,31.30%,13.90%,52.41,41.4994444,-81.6955556
82,53.70%,"Cincinnati, Ohio",Cincinnati,OH,"Cincinnati, OH","298,802",37.6,23,30.50%,93.10%,19.90%,9.40%,65.37,39.1619444,-84.4569444
95,46.30%,"Tulsa, Oklahoma",Tulsa,OK,"Tulsa, OK","403,622",39.1,18.8,31.20%,83.30%,16.00%,7.00%,63.45,36.1538889,-95.9925
73,58.80%,"Oklahoma City, Oklahoma",Oklahoma City,OK,"Oklahoma City, OK","638,311",39.4,21.7,31.20%,85.70%,11.90%,5.40%,66.64,35.4675,-97.5161111
32,81.90%,"Salem, Oregon",Salem,OR,"Salem, OR","167,421",37.3,22.1,41.50%,92.40%,8.70%,6.40%,72.35,44.9430556,-123.0338889
39,78.00%,"Portland, Oregon",Portland,OR,"Portland, OR","639,635",37.6,27.4,38.80%,93.80%,9.30%,5.00%,71.52,45.5236111,-122.675
7,96.00%,"Eugene, Oregon",Eugene,OR,"Eugene, OR","166,581",34.7,18,52.30%,93.50%,10.30%,7.50%,75.67,44.0522222,-123.0855556
30,83.10%,"Pittsburgh, Pennsylvania",Pittsburgh,PA,"Pittsburgh, PA","303,624",37.6,24,34.40%,95.70%,13.00%,6.50%,72.38,40.4405556,-79.9961111
163,7.90%,"Philadelphia, Pennsylvania",Philadelphia,PA,"Philadelphia, PA","1,567,872",38.7,33.3,38.20%,91.30%,19.70%,9.60%,52.68,39.9522222,-75.1641667
107,39.50%,"Providence, Rhode Island",Providence,RI,"Providence, RI","179,214",37.1,23.3,42.30%,91.80%,21.90%,8.30%,61.77,41.8238889,-71.4133333
2,98.90%,"Sioux Falls, South Dakota",Sioux Falls,SD,"Sioux Falls, SD","174,350",39.7,16.8,27.20%,92.20%,5.40%,2.60%,81.28,43.55,-96.7
68,61.60%,"Nashville, Tennessee",Nashville,TN,"Nashville, TN","660,393",39.1,25.3,37.00%,88.50%,10.00%,4.30%,67.22,36.1658333,-86.7844444
46,74.00%,"Chattanooga, Tennessee",Chattanooga,TN,"Chattanooga, TN","177,582",39.4,20.3,31.30%,90.80%,12.80%,5.60%,69.83,35.0455556,-85.3097222
140,20.90%,"Memphis, Tennessee",Memphis,TN,"Memphis, TN","652,752",38.4,21.8,38.60%,87.10%,21.90%,8.50%,57.87,35.1494444,-90.0488889
44,75.10%,"Knoxville, Tennessee",Knoxville,TN,"Knoxville, TN","186,238",36.7,20,40.90%,90.00%,16.90%,5.40%,70.39,35.9605556,-83.9208333
137,22.60%,"Clarksville, Tennessee",Clarksville,TN,"Clarksville, TN","150,280",41.6,23.8,37.10%,90.60%,12.70%,7.80%,57.97,36.5297222,-87.3594444
173,2.30%,"Brownsville, Texas",Brownsville,TX,"Brownsville, TX","183,829",38,20.1,37.00%,70.80%,26.60%,8.70%,47.63,25.9013889,-97.4972222
170,4.00%,"Laredo, Texas",Laredo,TX,"Laredo, TX","257,988",38.5,20.9,42.20%,73.00%,30.00%,4.50%,48.71,27.5061111,-99.5072222
141,20.30%,"Irving, Texas",Irving,TX,"Irving, TX","238,284",40.3,26.1,37.70%,79.40%,11.10%,4.10%,57.86,32.8138889,-96.9486111
168,5.10%,"Houston, Texas",Houston,TX,"Houston, TX","2,304,388",39.9,27.3,38.80%,77.80%,18.20%,6.50%,49.82,29.7630556,-95.3630556
75,57.60%,"Austin, Texas",Austin,TX,"Austin, TX","947,897",39.8,24.8,38.40%,87.00%,8.40%,3.50%,66.4,30.2669444,-97.7427778
117,33.90%,"Arlington, Texas",Arlington,TX,"Arlington, TX","392,787",39.5,27.3,36.00%,82.80%,12.20%,4.70%,60.25,32.7355556,-97.1077778
34,80.80%,"Frisco, Texas",Frisco,TX,"Frisco, TX","163,631",41.2,30.6,23.70%,96.20%,4.10%,3.70%,72.31,33.1505556,-96.8233333
72,59.30%,"Amarillo, Texas",Amarillo,TX,"Amarillo, TX","197,812",40.2,18.5,32.10%,82.50%,11.70%,3.70%,66.71,35.2219444,-101.8308333
41,76.80%,"Lubbock, Texas",Lubbock,TX,"Lubbock, TX","252,514",38.6,16.3,44.70%,87.80%,11.40%,3.60%,70.99,33.5777778,-101.8547222
51,71.20%,"Plano, Texas",Plano,TX,"Plano, TX","286,047",40.1,26.8,30.90%,89.10%,5.00%,4.10%,69.46,33.0197222,-96.6986111
59,66.70%,"McKinney, Texas",McKinney,TX,"McKinney, TX","172,318",40.3,29.4,33.60%,90.20%,6.90%,2.60%,67.89,33.1975,-96.6150
176,0.60%,"Pasadena, Texas",Pasadena,TX,"Pasadena, TX","153,359",40.1,26.8,42.20%,74.00%,14.60%,11.50%,42.27,29.6908333,-95.2088889
90,49.20%,"Corpus Christi, Texas",Corpus Christi,TX,"Corpus Christi, TX","325,734",40.4,18.7,37.80%,83.50%,10.80%,5.00%,63.76,27.8002778,-97.3961111
113,36.20%,"Grand Prairie, Texas",Grand Prairie,TX,"Grand Prairie, TX","190,626",39.6,29.8,36.30%,81.20%,7.00%,4.40%,60.68,32.7458333,-96.9975
132,25.40%,"El Paso, Texas",El Paso,TX,"El Paso, TX","683,088",38.9,23.2,37.10%,82.00%,18.50%,5.80%,58.44,31.7586111,-106.4863889
145,18.10%,"Fort Worth, Texas",Fort Worth,TX,"Fort Worth, TX","855,897",39.7,27.9,37.20%,81.60%,14.00%,4.80%,57.14,32.7252778,-97.3205556
155,12.40%,"Garland, Texas",Garland,TX,"Garland, TX","234,588",39.7,29.5,41.30%,78.50%,10.70%,5.20%,54.28,32.9125,-96.6386111
159,10.20%,"Dallas, Texas",Dallas,TX,"Dallas, TX","1,317,942",40.3,26.7,36.60%,77.80%,16.10%,4.70%,53.36,32.7833333,-96.8
128,27.70%,"San Antonio, Texas",San Antonio,TX,"San Antonio, TX","1,492,494",39,24.7,40.80%,83.90%,14.80%,6.00%,59.02,29.4238889,-98.4933333
27,84.70%,"Salt Lake City, Utah",Salt Lake City,UT,"Salt Lake City, UT","193,776",38.5,20.1,34.70%,87.50%,10.60%,3.30%,72.84,40.7608333,-111.8902778
81,54.20%,"Newport News, Virginia",Newport News,VA,"Newport News, VA","181,825",38.9,20.9,42.20%,87.80%,8.90%,7.10%,65.5,36.9786111,-76.4283333
143,19.20%,"Norfolk, Virginia",Norfolk,VA,"Norfolk, VA","245,115",39.8,20.5,44.90%,88.30%,16.40%,8.00%,57.78,36.8466667,-76.2855556
49,72.30%,"Chesapeake, Virginia",Chesapeake,VA,"Chesapeake, VA","237,940",38.7,26.8,38.70%,91.60%,6.60%,4.90%,69.69,36.8188889,-76.2752778
139,21.50%,"Alexandria, Virginia",Alexandria,VA,"Alexandria, VA","155,810",41.7,32.6,35.20%,85.40%,8.30%,3.10%,57.89,38.8047222,-77.0472222
58,67.20%,"Arlington, Virginia",Arlington,VA,"Arlington, VA","230,050",42,28.6,33.40%,93.90%,4.50%,2.80%,67.91,38.8902778,-77.0844444
55,68.90%,"Virginia Beach, Virginia",Virginia Beach,VA,"Virginia Beach, VA","452,602",40.2,23.4,43.30%,92.40%,5.40%,4.70%,68.23,36.8527778,-75.9783333
105,40.70%,"Richmond, Virginia",Richmond,VA,"Richmond, VA","223,170",37.4,21.5,41.80%,90.50%,22.70%,7.50%,62.1,37.5536111,-77.4605556
15,91.50%,"Spokane, Washington",Spokane,WA,"Spokane, WA","215,964",37.5,21.4,36.00%,94.30%,12.40%,5.80%,74,47.6588889,-117.425
74,58.20%,"Tacoma, Washington",Tacoma,WA,"Tacoma, WA","211,304",38.2,29.8,35.90%,92.90%,12.30%,5.70%,66.57,47.2530556,-122.4430556
52,70.60%,"Vancouver, Washington",Vancouver,WA,"Vancouver, WA","174,836",38.6,26.7,38.20%,92.40%,8.00%,5.50%,69.13,45.6388889,-122.6602778
36,79.70%,"Seattle, Washington",Seattle,WA,"Seattle, WA","704,358",39,27.7,37.30%,96.10%,6.20%,4.70%,72.11,47.6063889,-122.3308333
1,99.40%,"Madison, Wisconsin",Madison,WI,"Madison, WI","252,557",37,19.4,39.10%,96.40%,7.00%,3.80%,82.04,43.0730556,-89.4011111
83,53.10%,"Milwaukee, Wisconsin",Milwaukee,WI,"Milwaukee, WI","595,070",36.9,22,37.20%,91.50%,21.80%,8.00%,64.97,43.0388889,-87.9063889
